iter	Passed	Remaining
0	1887	942088
1	3777	940701
2	5115	847502
3	6369	789818
4	7508	743335
5	9003	741287
6	10175	716632
7	11193	688424
8	12443	678871
9	13560	664470
10	14841	659756
11	16129	655952
12	17439	653312
13	18676	648353
14	19810	640544
15	20917	632746
16	22076	627239
17	23220	621785
18	24329	615928
19	25442	610624
20	26549	605584
21	27663	601059
22	28763	596520
23	29789	590834
24	30908	587256
25	32046	584241
26	33298	583334
27	34416	580156
28	35719	580133
29	36827	576962
30	37914	573603
31	39092	571721
32	40154	568244
33	41239	565228
34	42369	562909
35	43514	560854
36	44638	558586
37	45669	555243
38	46789	553079
39	47854	550322
40	48909	547546
41	49947	544661
42	51230	544477
43	52622	545363
44	53922	545217
45	55208	544883
46	56471	544287
47	57716	543495
48	59122	544165
49	60328	542954
50	61580	542145
51	62933	542197
52	64184	541328
53	65441	540498
54	66578	538677
55	67795	537521
56	68903	535510
57	69952	533089
58	71124	531623
59	72307	530252
60	73766	530874
61	75302	531977
62	76578	531189
63	77752	529691
64	78889	527954
65	80202	527392
66	81375	525902
67	82622	524898
68	83770	523263
69	85032	522341
70	86053	519955
71	87046	517442
72	88207	515951
73	89358	514414
74	90478	512712
75	91519	510579
76	92730	509413
77	93839	507693
78	94908	505776
79	96016	504088
80	97077	502168
81	98163	500395
82	99170	498244
83	100208	496269
84	101357	494862
85	102359	492752
86	103369	490707
87	104426	488905
88	105458	487003
89	106487	485110
90	107494	483134
91	108792	482469
92	109879	480870
93	110879	478904
94	111910	477090
95	112925	475229
96	113925	473321
97	114923	471421
98	115926	469559
99	116952	467810
100	118025	466259
101	119131	464846
102	120283	463615
103	121336	462012
104	122287	460035
105	123288	458260
106	124278	456463
107	125299	454789
108	126386	453366
109	127390	451656
110	128422	450057
111	129448	448445
112	130483	446875
113	131529	445354
114	132562	443796
115	133580	442197
116	134617	440670
117	135619	439039
118	136687	437629
119	137755	436227
120	138796	434743
121	139774	433070
122	140748	431399
123	141899	430275
124	143255	429767
125	144719	429562
126	146039	428918
127	147318	428145
128	148537	427190
129	149675	426000
130	150852	424919
131	152082	423988
132	153257	422898
133	154406	421736
134	155585	420655
135	156647	419261
136	157781	418062
137	158811	416593
138	159819	415072
139	160801	413489
140	161792	411938
141	162788	410411
142	163820	408979
143	165071	408093
144	166301	407150
145	167345	405756
146	168382	404345
147	169375	402837
148	170392	401394
149	171414	399966
150	172444	398564
151	173606	397466
152	174788	396415
153	175805	394991
154	176869	393677
155	177893	392277
156	178904	390856
157	179899	389402
158	180995	388172
159	182188	387151
160	183248	385845
161	184482	384908
162	185818	384177
163	186828	382769
164	187989	381675
165	189043	380364
166	190107	379076
167	191367	378177
168	192612	377246
169	193738	376081
170	194782	374757
171	195936	373646
172	197131	372613
173	198417	371747
174	199434	370377
175	200479	369063
176	201488	367687
177	202527	366369
178	203574	365069
179	204615	363761
180	205698	362529
181	206862	361441
182	208003	360312
183	209193	359266
184	210242	357980
185	211262	356647
186	212253	355268
187	213285	353963
188	214335	352689
189	215490	351590
190	216613	350438
191	217673	349184
192	218772	347995
193	219811	346712
194	220837	345412
195	221921	344205
196	222931	342884
197	223943	341569
198	224982	340299
199	226040	339060
200	227061	337767
201	228078	336471
202	229062	335131
203	230091	333858
204	231114	332579
205	232151	331322
206	233176	330052
207	234196	328775
208	235215	327501
209	236286	326300
210	237366	325112
211	238380	323837
212	239448	322637
213	240504	321422
214	241581	320236
215	242621	319001
216	243695	317814
217	244757	316613
218	245786	315369
219	246844	314165
220	248053	313153
221	249108	311946
222	250120	310687
223	251121	309417
224	252129	308158
225	253180	306953
226	254231	305749
227	255280	304545
228	256342	303357
229	257343	302099
230	258429	300942
231	259472	299734
232	260463	298471
233	261495	297255
234	262527	296042
235	263541	294809
236	264558	293581
237	265549	292327
238	266583	291122
239	267662	289967
240	268656	288722
241	269642	287470
242	270671	286266
243	271707	285070
244	272730	283861
245	273743	282645
246	274784	281459
247	275826	280275
248	276867	279091
249	277885	277885
250	278906	276684
251	279959	275516
252	280963	274300
253	281977	273096
254	283011	271913
255	284048	270733
256	285091	269561
257	286100	268357
258	287198	267238
259	288224	266053
260	289282	264898
261	290358	263760
262	291331	262530
263	292401	261389
264	293492	260266
265	294566	259129
266	295578	257938
267	296623	256778
268	297659	255610
269	298687	254437
270	299692	253245
271	300725	252078
272	301745	250902
273	302758	249720
274	303815	248575
275	304874	247434
276	305922	246284
277	307028	245180
278	308086	244039
279	309156	242909
280	310209	241764
281	311260	240620
282	312299	239466
283	313374	238340
284	314424	237197
285	315521	236089
286	316539	234923
287	317575	233770
288	318578	232595
289	319568	231411
290	320658	230300
291	321639	229113
292	322692	227976
293	323716	226821
294	324717	225650
295	325743	224498
296	326764	223343
297	327842	222228
298	328951	221134
299	329914	219943
300	330904	218770
301	331871	217584
302	332902	216441
303	333910	215284
304	334868	214096
305	335893	212952
306	336890	211790
307	337884	210629
308	338909	209487
309	339919	208337
310	340941	207195
311	341950	206047
312	342953	204895
313	343947	203739
314	344983	202609
315	345997	201466
316	347026	200333
317	348026	199184
318	349051	198051
319	350062	196910
320	351092	195780
321	352182	194684
322	353194	193546
323	354207	192409
324	355232	191279
325	356282	190163
326	357331	189047
327	358329	187904
328	359372	186786
329	360375	185647
